batter,innings,total_runs,total_balls,outs,total_50s,total_100s,avg_strike_rate,motm_count,orange_caps,average,fours,sixes
A Ashish Reddy,23,280,196,15,0,0,135.39039462952505,0,0,12.173913043478262,16,15
A Badoni,11,161,139,9,1,0,117.09892977835561,0,0,14.636363636363637,11,7
A Chandila,2,4,7,1,0,0,33.33333333333333,1,0,2.0,0,0
A Chopra,6,53,75,5,0,0,59.148148148148145,0,0,8.833333333333334,7,0
A Choudhary,3,25,20,2,0,0,163.88888888888889,0,0,8.333333333333334,1,1
A Dananjaya,1,4,5,0,0,0,80.0,0,0,4.0,0,0
A Flintoff,3,62,57,2,0,0,114.01058201058201,0,0,20.666666666666668,5,2
A Kumble,15,35,49,2,0,0,79.19047619047619,3,0,2.3333333333333335,3,0
A Manohar,7,108,79,6,0,0,101.66464077794127,0,0,15.428571428571429,14,3
A Mishra,54,362,410,30,0,0,86.39571030534653,12,0,6.703703703703703,29,5
A Mithun,6,34,26,5,0,0,117.55952380952381,0,0,5.666666666666667,4,1
A Mukund,2,19,23,2,0,0,43.18181818181818,0,0,9.5,1,0
A Nehra,17,41,63,8,0,0,37.05882352941177,6,0,2.411764705882353,3,1
A Nortje,4,8,13,1,0,0,124.4047619047619,3,0,2.0,0,0
A Singh,5,2,10,4,0,0,20.0,1,0,0.4,0,0
A Symonds,36,974,781,26,5,1,112.45932604931554,3,0,27.055555555555557,74,41
A Tomar,1,4,8,1,0,0,50.0,0,0,4.0,1,0
A Uniyal,2,4,7,1,0,0,33.33333333333333,0,0,2.0,0,0
A Zampa,2,5,8,2,0,0,35.714285714285715,1,0,2.5,1,0
AA Bilakhia,7,69,88,5,0,0,79.5578231292517,0,0,9.857142857142858,5,0
AA Chavan,3,12,11,1,0,0,116.66666666666667,0,0,4.0,2,0
AA Jhunjhunwala,15,217,218,14,1,0,95.92106688845818,1,0,14.466666666666667,19,5
AA Noffke,1,9,12,1,0,0,75.0,0,0,9.0,1,0
AB Agarkar,18,179,160,8,0,0,117.21651004443432,0,0,9.944444444444445,13,5
AB Barath,3,42,43,2,0,0,75.95238095238095,0,0,14.0,5,1
AB Dinda,16,26,50,9,0,0,47.552083333333336,2,0,1.625,2,0
AB McDonald,9,123,103,5,0,0,105.87895147883829,0,0,13.666666666666666,9,4
AB de Villiers,170,5181,3487,125,41,3,129.9967936465417,25,0,30.476470588235294,414,253
AC Blizzard,7,120,91,7,1,0,97.05163883735312,0,0,17.142857142857142,21,2
AC Gilchrist,80,2069,1555,76,11,2,114.2540125927837,7,0,25.8625,239,92
AC Thomas,4,20,19,2,0,0,75.0,0,0,5.0,1,1
AC Voges,7,181,143,6,0,0,124.41048455533198,1,0,25.857142857142858,15,3
AD Hales,6,148,119,6,0,0,112.06641737891738,0,0,24.666666666666668,13,6
