batter,total_runs,total_balls,outs,strike_rate,average,fours,sixes
A Ashish Reddy,280,196,15,142.85714285714286,18.666666666666668,16,15
A Badoni,161,139,9,115.8273381294964,17.88888888888889,11,7
A Chandila,4,7,1,57.14285714285714,4.0,0,0
A Chopra,53,75,5,70.66666666666667,10.6,7,0
A Choudhary,25,20,2,125.0,12.5,1,1
A Dananjaya,4,5,0,80.0,4.0,0,0
A Flintoff,62,57,2,108.77192982456141,31.0,5,2
A Kumble,35,49,2,71.42857142857143,17.5,3,0
A Manohar,108,79,6,136.70886075949366,18.0,14,3
A Mishra,362,410,30,88.29268292682927,12.066666666666666,29,5
A Mithun,34,26,5,130.76923076923077,6.8,4,1
A Mukund,19,23,2,82.6086956521739,9.5,1,0
A Nehra,41,63,8,65.07936507936508,5.125,3,1
A Nortje,8,13,1,61.53846153846154,8.0,0,0
A Singh,2,10,4,20.0,0.5,0,0
A Symonds,974,781,26,124.71190781049937,37.46153846153846,74,41
A Tomar,4,8,1,50.0,4.0,1,0
A Uniyal,4,7,1,57.14285714285714,4.0,0,0
A Zampa,5,8,2,62.5,2.5,1,0
AA Bilakhia,69,88,5,78.4090909090909,13.8,5,0
AA Chavan,12,11,1,109.09090909090908,12.0,2,0
AA Jhunjhunwala,217,218,14,99.54128440366972,15.5,19,5
AA Noffke,9,12,1,75.0,9.0,1,0
AB Agarkar,179,160,8,111.87499999999999,22.375,13,5
AB Barath,42,43,2,97.67441860465115,21.0,5,1
AB Dinda,26,50,9,52.0,2.888888888888889,2,0
AB McDonald,123,103,5,119.41747572815532,24.6,9,4
AB de Villiers,5181,3487,125,148.58044164037855,41.448,414,253
AC Blizzard,120,91,7,131.86813186813185,17.142857142857142,21,2
AC Gilchrist,2069,1555,76,133.05466237942122,27.223684210526315,239,92
AC Thomas,20,19,2,105.26315789473684,10.0,1,1
AC Voges,181,143,6,126.57342657342659,30.166666666666668,15,3
AD Hales,148,119,6,124.36974789915966,24.666666666666668,13,6
AD Mascarenhas,79,79,10,100.0,7.9,5,1
AD Mathews,724,599,31,120.86811352253757,23.35483870967742,44,29
AD Nath,90,99,10,90.9090909090909,9.0,7,2
AD Russell,2039,1212,66,168.23432343234325,30.893939393939394,138,175
AF Milne,23,31,5,74.19354838709677,4.6,0,1
AG Murtaza,10,14,1,71.42857142857143,10.0,1,0
AG Paunikar,49,61,5,80.32786885245902,9.8,9,0
AJ Finch,2092,1696,84,123.34905660377358,24.904761904761905,214,78
AJ Turner,3,11,3,27.27272727272727,1.0,0,0
AJ Tye,91,79,8,115.18987341772151,11.375,6,5
AK Markram,527,400,13,131.75,40.53846153846154,37,23
AL Menaria,401,367,22,109.26430517711172,18.227272727272727,24,18
AM Nayar,672,588,39,114.28571428571428,17.23076923076923,55,20
AM Rahane,4074,3465,133,117.57575757575758,30.63157894736842,431,80
AN Ahmed,36,27,1,133.33333333333331,36.0,4,1
