bowler,matches,total_runs_conceded,total_balls_bowled,total_illegal_deliveries,total_wides,total_no_balls,total_legal_deliveries,avg_runs_conceded,total_wickets,bowled,lbw,caught,stumped,others,total_overs,economy,motm_count,purple_caps
A Ashish Reddy,20,400,270,8,6,2,262,20.0,18,6.0,3.0,8.0,0.0,1.0,45,8.88888888888889,0,0
A Badoni,2,12,12,0,0,0,12,6.0,2,0.0,0.0,1.0,0.0,1.0,2,6.0,0,0
A Chandila,12,245,234,0,0,0,234,20.416666666666668,11,0.0,0.0,4.0,2.0,5.0,39,6.282051282051282,1,0
A Choudhary,5,144,108,7,6,1,101,28.8,5,0.0,0.0,5.0,0.0,0.0,17,8.470588235294118,0,0
A Dananjaya,1,47,25,1,1,0,24,47.0,0,,,,,,4,11.75,0,0
A Flintoff,3,106,66,0,0,0,66,35.333333333333336,2,0.0,0.0,1.0,0.0,1.0,11,9.636363636363637,0,0
A Kumble,42,1089,983,18,13,5,965,25.928571428571427,45,8.0,4.0,24.0,8.0,1.0,163,6.680981595092025,3,0
A Mishra,154,4022,3317,72,51,21,3245,26.116883116883116,166,26.0,14.0,95.0,28.0,3.0,543,7.406998158379374,12,0
A Mithun,16,477,312,24,15,9,288,29.8125,7,2.0,0.0,5.0,0.0,0.0,48,9.9375,0,0
A Nehra,88,2537,1974,66,57,9,1908,28.829545454545453,106,23.0,5.0,76.0,0.0,2.0,320,7.928125,6,0
A Nel,1,31,18,0,0,0,18,31.0,1,0.0,0.0,1.0,0.0,0.0,3,10.333333333333334,0,0
A Nortje,30,946,706,24,20,4,682,31.533333333333335,43,11.0,2.0,30.0,0.0,0.0,116,8.155172413793103,3,0
A Singh,23,639,486,13,12,1,473,27.782608695652176,28,6.0,1.0,21.0,0.0,0.0,80,7.9875,1,0
A Symonds,30,694,540,13,12,1,527,23.133333333333333,20,2.0,2.0,13.0,2.0,1.0,88,7.886363636363637,3,0
A Uniyal,2,67,38,2,2,0,36,33.5,2,0.0,1.0,1.0,0.0,0.0,6,11.166666666666666,0,0
