bowler,total_runs_conceded,total_balls_bowled,total_wickets,total_overs,economy_rate,average,extras_conceded,bowled,lbw,caught,stumped,run_out,other
A Ashish Reddy,400,270,19,15,8.88888888888889,21.05263157894737,12,6,3,9,0,1,0
A Badoni,12,12,2,1,6.0,6.0,1,0,0,2,0,0,0
A Chandila,245,234,11,9,6.282051282051282,22.272727272727273,2,0,0,9,2,0,0
A Choudhary,144,108,5,12,8.0,28.8,7,0,0,5,0,0,0
A Dananjaya,47,25,0,4,11.28,47.0,1,0,0,0,0,0,0
A Flintoff,106,66,2,10,9.636363636363637,53.0,1,0,0,2,0,0,0
A Kumble,1089,983,49,20,6.646998982706002,22.224489795918366,41,8,4,25,8,4,0
A Mishra,4022,3317,175,20,7.275248718721736,22.982857142857142,105,26,14,98,28,9,0
A Mithun,477,312,8,17,9.173076923076923,59.625,29,2,0,5,0,1,0
A Nehra,2537,1974,121,20,7.711246200607903,20.96694214876033,96,23,5,78,0,15,0
A Nel,31,18,1,3,10.333333333333334,31.0,0,0,0,1,0,0,0
A Nortje,946,706,44,17,8.039660056657224,21.5,42,11,2,30,0,1,0
A Singh,639,486,31,17,7.888888888888889,20.612903225806452,24,6,1,21,0,3,0
A Symonds,694,540,23,20,7.711111111111111,30.17391304347826,29,2,2,14,2,3,0
A Uniyal,67,38,3,5,10.578947368421053,22.333333333333332,3,0,1,1,0,1,0
A Zampa,373,292,21,15,7.664383561643836,17.761904761904763,8,2,1,16,2,0,0
AA Chavan,339,255,8,18,7.976470588235294,42.375,17,1,2,5,0,0,0
AA Jhunjhunwala,130,88,1,13,8.863636363636363,130.0,4,1,0,0,0,0,0
AA Kazi,21,13,1,2,9.692307692307693,21.0,1,0,0,0,0,1,0
AA Noffke,41,25,1,4,9.84,41.0,2,0,0,1,0,0,0
AB Agarkar,1174,820,33,20,8.590243902439026,35.57575757575758,57,5,0,24,0,4,0
AB Dinda,2103,1589,82,20,7.940843297671492,25.646341463414632,94,14,3,52,0,13,0
AB McDonald,263,188,14,15,8.393617021276595,18.785714285714285,4,6,0,5,0,3,0
AC Gilchrist,0,1,1,1,0.0,0.0,0,0,0,1,0,0,0
AC Thomas,416,327,16,14,7.63302752293578,26.0,19,1,0,13,0,2,0
AC Voges,76,56,1,7,8.142857142857142,76.0,2,0,0,0,0,1,0
AD Mascarenhas,365,310,19,16,7.064516129032258,19.210526315789473,8,3,1,15,0,0,0
AD Mathews,1095,807,28,18,8.141263940520446,39.107142857142854,29,6,1,20,0,1,0
AD Russell,2214,1484,99,20,8.951482479784366,22.363636363636363,77,10,3,74,0,10,2
AF Milne,339,217,9,16,9.373271889400922,37.666666666666664,18,1,0,6,0,1,1
AG Murtaza,322,269,12,18,7.182156133828996,26.833333333333332,10,1,2,6,0,3,0
AJ Finch,67,44,1,7,9.136363636363637,67.0,1,0,0,1,0,0,0
AJ Tye,1005,714,48,19,8.445378151260504,20.9375,46,5,1,36,0,6,0
AK Markram,87,61,1,7,8.557377049180328,87.0,1,0,0,1,0,0,0
AL Menaria,144,113,3,11,7.646017699115045,48.0,3,0,0,2,1,0,0
AM Nayar,323,239,9,11,8.10878661087866,35.888888888888886,11,1,0,8,0,0,0
AM Rahane,5,6,1,1,5.0,5.0,0,1,0,0,0,0,0
AM Salvi,205,156,7,15,7.884615384615385,29.285714285714285,10,0,1,6,0,0,0
AN Ahmed,515,362,15,19,8.535911602209945,34.333333333333336,29,3,1,8,0,3,0
AP Dole,114,73,5,9,9.36986301369863,22.8,8,2,0,3,0,0,0
AR Patel,3140,2599,109,20,7.24894190073105,28.807339449541285,80,26,5,59,10,8,1
AS Joseph,358,240,14,15,8.95,25.571428571428573,15,5,0,8,0,1,0
AS Rajpoot,844,567,24,19,8.931216931216932,35.166666666666664,59,3,2,19,0,0,0
AS Raut,45,30,0,4,9.0,45.0,1,0,0,0,0,0,0
AS Roy,66,57,2,8,6.947368421052632,33.0,3,0,0,2,0,0,0
AU Rashid,35,18,0,3,11.666666666666666,35.0,0,0,0,0,0,0,0
AUK Pathan,63,41,0,6,9.219512195121952,63.0,2,0,0,0,0,0,0
Abdul Samad,113,55,2,6,12.327272727272728,56.5,1,0,0,2,0,0,0
Abdur Razzak,29,14,0,2,12.428571428571427,29.0,2,0,0,0,0,0,0
Abhishek Sharma,218,161,7,12,8.124223602484472,31.142857142857142,9,0,2,4,1,0,0
Akash Deep,206,119,6,12,10.38655462184874,34.333333333333336,7,1,0,4,0,1,0
Akash Singh,39,24,0,4,9.75,39.0,0,0,0,0,0,0,0
Aman Hakim Khan,13,6,0,1,13.0,13.0,0,0,0,0,0,0,0
Anand Rajan,206,162,10,15,7.62962962962963,20.6,18,1,1,6,0,2,0
Ankit Sharma,453,375,12,16,7.248,37.75,10,2,2,8,0,0,0
Ankit Soni,145,112,4,10,7.767857142857142,36.25,4,0,1,1,0,2,0
Anureet Singh,636,430,21,19,8.874418604651162,30.285714285714285,31,6,0,12,0,3,0
Arshdeep Singh,1086,803,46,19,8.114570361145702,23.608695652173914,66,8,0,32,0,6,0
Avesh Khan,1190,868,51,20,8.225806451612904,23.333333333333332,52,12,1,34,0,3,0
Azhar Mahmood,707,552,31,20,7.684782608695652,22.806451612903224,22,3,4,22,0,2,0
B Akhil,246,193,7,13,7.647668393782384,35.142857142857146,9,1,0,4,1,1,0
B Chipli,20,6,0,1,20.0,20.0,0,0,0,0,0,0,0
B Geeves,91,49,2,6,11.142857142857144,45.5,1,0,0,1,0,1,0
B Kumar,4064,3384,165,20,7.205673758865248,24.63030303030303,202,36,9,108,1,11,0
B Laughlin,284,179,10,14,9.5195530726257,28.4,13,1,0,9,0,0,0
B Lee,1126,916,30,18,7.3755458515283845,37.53333333333333,67,6,0,19,0,5,0
B Stanlake,200,150,7,13,8.0,28.571428571428573,6,1,0,6,0,0,0
BA Bhatt,408,303,13,19,8.07920792079208,31.384615384615383,12,1,2,9,0,1,0
BA Stokes,1005,717,31,18,8.410041841004183,32.41935483870968,56,7,0,21,0,3,0
BAW Mendis,306,248,9,17,7.403225806451612,34.0,7,0,1,7,0,1,0
BB Sran,767,516,20,19,8.918604651162791,38.35,40,2,0,16,0,1,1
BCJ Cutting,430,288,12,18,8.958333333333334,35.833333333333336,8,3,0,7,0,2,0
BE Hendricks,239,157,11,12,9.13375796178344,21.727272727272727,10,1,0,8,0,2,0
BJ Hodge,310,238,18,11,7.815126050420169,17.22222222222222,8,4,0,13,0,1,0
BJ Rohrer,12,7,0,1,10.285714285714285,12.0,1,0,0,0,0,0,0
BMAJ Mendis,36,30,1,4,7.2,36.0,0,0,0,0,1,0,0
BW Hilfenhaus,497,390,23,16,7.6461538461538465,21.608695652173914,29,5,1,16,0,1,0
Basil Thampi,862,539,26,19,9.595547309833025,33.15384615384615,29,4,4,14,0,4,0
Bipul Sharma,581,436,22,18,7.9954128440366965,26.40909090909091,18,2,1,13,1,5,0
C Ganapathy,13,6,0,1,13.0,13.0,0,0,0,0,0,0,0
C Munro,15,12,0,1,7.5,15.0,0,0,0,0,0,0,0
C Nanda,58,50,2,8,6.959999999999999,29.0,3,0,0,2,0,0,0
C Sakariya,521,405,17,16,7.718518518518518,30.647058823529413,35,2,0,15,0,0,0
C de Grandhomme,323,230,7,13,8.426086956521738,46.142857142857146,18,0,1,5,0,1,0
CH Gayle,755,584,19,20,7.756849315068494,39.73684210526316,46,5,2,8,3,1,0
CH Morris,2377,1801,107,20,7.91893392559689,22.214953271028037,115,22,6,68,0,11,0
CJ Anderson,525,315,14,19,10.0,37.5,25,0,1,10,0,3,0
CJ Dala,34,19,0,3,10.736842105263158,34.0,1,0,0,0,0,0,0
CJ Green,24,17,0,3,8.470588235294118,24.0,0,0,0,0,0,0,0
CJ Jordan,870,577,33,20,9.04679376083189,26.363636363636363,51,6,0,21,0,6,0
CJ McKay,60,42,1,7,8.571428571428571,60.0,0,0,0,1,0,0,0
CK Kapugedera,49,17,0,3,17.294117647058822,49.0,0,0,0,0,0,0,0
CK Langeveldt,199,165,13,13,7.236363636363636,15.307692307692308,15,1,1,11,0,0,0
CL White,86,46,1,6,11.217391304347826,86.0,4,0,0,1,0,0,0
CR Brathwaite,384,266,16,17,8.661654135338345,24.0,16,2,0,11,0,3,0
CR Woakes,674,463,31,17,8.734341252699783,21.741935483870968,35,5,1,24,0,1,0
CRD Fernando,306,249,19,17,7.373493975903615,16.105263157894736,23,2,1,14,0,2,0
CV Varun,1186,992,44,19,7.173387096774193,26.954545454545453,30,10,5,24,3,2,0
D Brevis,8,3,1,1,16.0,8.0,0,0,1,0,0,0,0
D Kalyankrishna,88,50,2,6,10.559999999999999,44.0,3,0,0,2,0,0,0
D Pretorius,213,138,7,11,9.26086956521739,30.428571428571427,15,0,1,5,0,1,0
D Salunkhe,80,51,1,6,9.411764705882353,80.0,6,0,0,0,1,0,0
D Wiese,409,289,17,16,8.491349480968859,24.058823529411764,15,1,1,14,0,1,0
D du Preez,56,43,4,6,7.813953488372093,14.0,1,0,0,4,0,0,0
DA Warner,2,2,0,1,6.0,2.0,1,0,0,0,0,0,0
DAJ Bracewell,32,25,3,4,7.68,10.666666666666666,1,1,0,2,0,0,0
DB Ravi Teja,28,18,1,3,9.333333333333334,28.0,0,0,0,1,0,0,0
DE Bollinger,716,600,43,12,7.16,16.651162790697676,40,8,1,28,0,5,1
DG Nalkande,59,33,2,4,10.727272727272727,29.5,2,0,0,2,0,0,0
DJ Bravo,4436,3296,207,19,8.075242718446601,21.429951690821255,232,21,8,154,0,24,0
DJ Harris,26,18,0,3,8.666666666666666,26.0,0,0,0,0,0,0,0
DJ Hooda,505,359,10,17,8.440111420612814,50.5,14,1,0,8,1,0,0
DJ Hussey,485,323,10,17,9.009287925696594,48.5,12,1,0,6,1,2,0
DJ Mitchell,27,13,0,2,12.461538461538462,27.0,1,0,0,0,0,0,0
DJ Muthuswami,108,84,4,8,7.714285714285714,27.0,3,0,1,3,0,0,0
DJ Thornely,40,44,3,5,5.454545454545455,13.333333333333334,2,0,0,3,0,0,0
DJ Willey,171,127,3,11,8.078740157480315,57.0,5,1,0,2,0,0,0
DJG Sammy,354,244,14,17,8.704918032786885,25.285714285714285,11,5,0,6,0,3,0
DJM Short,23,18,1,3,7.666666666666667,23.0,1,0,0,1,0,0,0
DL Chahar,1739,1385,61,20,7.533574007220216,28.508196721311474,77,11,8,40,0,2,0
DL Vettori,894,785,34,20,6.83312101910828,26.294117647058822,21,7,4,15,2,6,0
DNT Zoysa,100,69,2,6,8.695652173913043,50.0,4,0,0,2,0,0,0
DP Nannes,815,689,38,19,7.097242380261249,21.44736842105263,64,5,2,21,0,10,0
DP Vijaykumar,205,159,4,13,7.735849056603773,51.25,13,0,0,4,0,0,0
DR Sams,528,389,15,19,8.143958868894602,35.2,31,0,1,13,0,1,0
DR Smith,825,557,27,16,8.88689407540395,30.555555555555557,29,8,2,16,0,1,0
DS Kulkarni,2513,1876,91,20,8.03731343283582,27.615384615384617,112,12,2,72,0,5,0
DT Christian,1218,922,40,19,7.926247288503254,30.45,59,8,3,27,0,2,0
DW Steyn,2583,2282,105,19,6.791411042944786,24.6,145,26,6,64,0,8,1
F du Plessis,16,6,0,1,16.0,16.0,0,0,0,0,0,0,0
FA Allen,136,91,2,10,8.967032967032967,68.0,1,0,1,1,0,0,0
FH Edwards,160,150,6,9,6.4,26.666666666666668,15,1,1,3,0,1,0
FY Fazal,20,12,1,1,10.0,20.0,0,0,0,0,0,1,0
Fazalhaq Farooqi,110,76,2,10,8.68421052631579,55.0,4,2,0,0,0,0,0
GB Hogg,585,466,25,16,7.532188841201716,23.4,19,5,2,11,5,2,0
GC Viljoen,229,146,8,15,9.41095890410959,28.625,12,1,1,5,0,1,0
GD McGrath,366,329,14,11,6.674772036474164,26.142857142857142,14,1,1,10,0,2,0
GD Phillips,20,13,1,2,9.230769230769232,20.0,1,0,0,1,0,0,0
GH Vihari,48,43,1,5,6.697674418604651,48.0,2,0,0,1,0,0,0
GHS Garton,136,97,3,10,8.412371134020617,45.333333333333336,8,0,0,3,0,0,0
GJ Maxwell,1087,803,31,18,8.122042341220423,35.064516129032256,24,9,4,14,1,3,0
GR Napier,28,24,1,4,7.0,28.0,1,0,0,1,0,0,0
GS Sandhu,86,48,1,7,10.75,86.0,1,0,0,1,0,0,0
Gagandeep Singh,142,84,3,12,10.142857142857142,47.333333333333336,1,1,0,2,0,0,0
Gurkeerat Singh,97,82,5,9,7.097560975609756,19.4,4,1,0,4,0,0,0
HF Gurney,239,169,7,15,8.485207100591715,34.142857142857146,8,0,2,5,0,0,0
HH Pandya,1566,1103,53,20,8.518585675430643,29.547169811320753,73,5,1,44,0,3,0
HR Shokeen,130,94,2,8,8.297872340425533,65.0,6,0,0,2,0,0,0
HV Patel,2262,1665,106,19,8.151351351351352,21.339622641509433,111,10,7,80,0,9,0
Harbhajan Singh,4101,3496,161,20,7.0383295194508015,25.472049689440993,129,29,8,94,18,11,1
Harmeet Singh,747,574,31,20,7.808362369337979,24.096774193548388,37,6,4,17,0,4,0
Harpreet Brar,379,296,9,15,7.6824324324324325,42.111111111111114,12,3,0,5,1,0,0
Harshit Rana,52,31,1,5,10.064516129032258,52.0,2,0,0,1,0,0,0
I Malhotra,23,6,0,1,23.0,23.0,0,0,0,0,0,0,0
I Sharma,2779,2090,74,20,7.97799043062201,37.554054054054056,154,17,4,51,0,2,0
I Udana,286,182,8,16,9.428571428571429,35.75,12,2,0,6,0,0,0
IC Pandey,609,469,19,17,7.791044776119403,32.05263157894737,18,4,0,14,0,1,0
IC Porel,42,26,1,4,9.692307692307693,42.0,5,0,0,1,0,0,0
IK Pathan,2711,2113,99,20,7.698059630856601,27.383838383838384,120,22,6,52,0,19,0
IS Sodhi,204,182,9,13,6.725274725274725,22.666666666666668,3,1,1,7,0,0,0
Imran Tahir,1729,1340,86,18,7.741791044776119,20.1046511627907,38,16,7,56,3,4,0
Iqbal Abdulla,1125,943,45,20,7.158006362672323,25.0,38,5,6,26,3,5,0
J Botha,818,709,27,20,6.922425952045134,30.296296296296298,29,7,6,9,3,2,0
J Suchith,604,434,20,17,8.350230414746544,30.2,16,3,1,13,2,1,0
J Syed Mohammad,286,196,10,13,8.755102040816327,28.6,7,1,0,6,1,2,0
J Theron,311,235,13,15,7.940425531914894,23.923076923076923,21,5,1,5,0,2,0
J Yadav,421,374,9,16,6.754010695187166,46.77777777777778,10,2,0,6,0,1,0
JA Morkel,2409,1807,96,20,7.998893193137797,25.09375,121,17,7,60,0,11,1
JA Richardson,122,69,3,7,10.608695652173912,40.666666666666664,5,2,0,1,0,0,0
JC Archer,1008,858,47,17,7.048951048951049,21.4468085106383,49,11,2,33,0,1,0
JD Ryder,314,241,11,14,7.817427385892117,28.545454545454547,10,2,0,6,0,3,0
JD Unadkat,2806,1942,99,20,8.66941297631308,28.343434343434343,67,15,1,75,0,7,1
JDP Oram,362,244,13,16,8.901639344262296,27.846153846153847,14,0,0,9,0,4,0
JDS Neesham,342,222,8,14,9.243243243243244,42.75,11,1,0,7,0,0,0
JE Taylor,167,122,6,8,8.213114754098362,27.833333333333332,11,0,0,6,0,0,0
JEC Franklin,225,155,9,12,8.70967741935484,25.0,6,1,0,8,0,0,0
JH Kallis,2348,1799,74,20,7.8310172317954425,31.72972972972973,96,18,6,41,0,9,0
JJ Bumrah,3499,2857,161,20,7.348267413370668,21.732919254658384,160,33,16,99,0,13,0
JJ van der Wath,134,76,3,9,10.578947368421053,44.666666666666664,6,0,0,3,0,0,0
JL Pattinson,321,222,11,13,8.675675675675675,29.181818181818183,10,1,2,8,0,0,0
JM Kemp,58,47,3,8,7.404255319148937,19.333333333333332,6,0,1,2,0,0,0
JO Holder,1199,873,55,19,8.240549828178693,21.8,62,6,2,41,0,6,0
JP Behrendorff,168,117,5,8,8.615384615384615,33.6,6,0,0,5,0,0,0
JP Duminy,847,701,23,20,7.249643366619116,36.82608695652174,31,5,2,15,1,0,0
JP Faulkner,1849,1287,76,20,8.62004662004662,24.32894736842105,90,18,2,41,0,15,0
JPR Scantlebury-Searles,89,45,2,6,11.866666666666667,44.5,3,0,0,2,0,0,0
JR Hazlewood,754,565,33,16,8.007079646017699,22.848484848484848,27,1,2,29,0,1,0
JR Hopes,562,369,14,15,9.138211382113822,40.142857142857146,23,1,1,12,0,0,0
JW Hastings,66,61,3,7,6.491803278688525,22.0,3,1,0,2,0,0,0
Jalaj S Saxena,27,18,0,3,9.0,27.0,0,0,0,0,0,0,0
Jaskaran Singh,174,111,6,11,9.405405405405405,29.0,12,0,1,5,0,0,0
Joginder Sharma,421,272,13,17,9.286764705882353,32.38461538461539,18,3,1,8,0,1,0
K Goel,94,67,0,6,8.417910447761194,94.0,2,0,0,0,0,0,0
K Gowtham,677,486,19,16,8.358024691358025,35.63157894736842,15,5,0,11,2,1,0
K Kartikeya,103,78,5,10,7.923076923076923,20.6,1,1,1,3,0,0,0
K Khejroliya,157,101,3,10,9.326732673267328,52.333333333333336,10,1,1,1,0,0,0
K Rabada,2023,1498,108,20,8.102803738317757,18.73148148148148,88,15,0,87,0,6,0
K Santokie,91,51,3,6,10.705882352941176,30.333333333333332,4,0,0,3,0,0,0
K Upadhyay,81,56,0,7,8.678571428571429,81.0,2,0,0,0,0,0,0
K Yadav,17,12,0,2,8.5,17.0,1,0,0,0,0,0,0
KA Jamieson,271,179,9,14,9.083798882681565,30.11111111111111,12,1,0,8,0,0,0
KA Pollard,2200,1586,81,17,8.32282471626734,27.160493827160494,115,5,3,59,1,12,1
KAJ Roach,80,52,0,7,9.230769230769232,80.0,4,0,0,0,0,0,0
KC Cariappa,349,224,8,14,9.348214285714285,43.625,9,1,1,4,2,0,0
KH Pandya,2066,1725,65,20,7.18608695652174,31.784615384615385,75,7,7,42,4,4,1
KJ Abbott,182,102,2,9,10.705882352941176,91.0,8,1,0,1,0,0,0
KK Ahmed,1116,809,51,20,8.276885043263288,21.88235294117647,42,4,1,43,0,2,1
KK Cooper,789,600,36,17,7.89,21.916666666666668,49,10,2,21,0,3,0
KL Nagarkoti,287,185,5,14,9.308108108108108,57.4,7,0,0,5,0,0,0
KM Asif,93,52,4,7,10.730769230769232,23.25,3,0,0,4,0,0,0
KMA Paul,239,180,10,14,7.966666666666667,23.9,19,0,0,9,0,1,0
KMDN Kulasekara,122,107,6,10,6.841121495327103,20.333333333333332,7,1,0,4,0,1,0
KP Appanna,291,222,11,11,7.864864864864865,26.454545454545453,8,1,1,5,2,2,0
KP Pietersen,218,180,9,15,7.266666666666667,24.22222222222222,9,1,1,5,0,2,0
KR Sen,240,157,8,13,9.171974522292993,30.0,9,2,0,6,0,0,0
KS Williamson,31,18,0,3,10.333333333333334,31.0,0,0,0,0,0,0,0
KV Sharma,1645,1239,64,17,7.966101694915254,25.703125,42,5,6,43,5,4,1
KW Richardson,479,345,21,16,8.330434782608696,22.80952380952381,17,2,1,16,0,1,1
Kamran Khan,248,177,14,15,8.40677966101695,17.714285714285715,19,4,0,6,0,4,0
Karanveer Singh,323,213,14,14,9.098591549295774,23.071428571428573,11,1,0,10,1,2,0
Kartik Tyagi,576,388,15,20,8.90721649484536,38.4,33,1,0,13,0,1,0
Kuldeep Yadav,1671,1219,64,18,8.224774405250205,26.109375,37,7,6,39,9,3,0
L Ablish,76,45,5,6,10.133333333333333,15.2,4,2,0,1,0,2,0
L Balaji,2083,1574,85,20,7.940279542566709,24.50588235294118,107,19,1,56,0,9,0
L Ngidi,460,342,28,18,8.070175438596491,16.428571428571427,26,4,1,20,0,3,0
LA Carseldine,6,7,1,1,5.142857142857142,6.0,1,0,0,1,0,0,0
LE Plunkett,228,154,4,13,8.883116883116882,57.0,7,1,0,3,0,0,0
LH Ferguson,1093,805,46,20,8.146583850931677,23.76086956521739,53,8,2,28,0,8,0
LI Meriwala,32,19,1,3,10.105263157894738,32.0,1,0,0,1,0,0,0
LJ Wright,125,75,2,8,10.0,62.5,5,0,0,2,0,0,0
LMP Simmons,34,18,1,3,11.333333333333334,34.0,0,1,0,0,0,0,0
LPC Silva,21,6,0,1,21.0,21.0,0,0,0,0,0,0,0
LR Shukla,458,326,17,15,8.429447852760736,26.941176470588236,20,5,2,8,0,2,0
LRPL Taylor,24,13,0,2,11.076923076923078,24.0,1,0,0,0,0,0,0
LS Livingstone,215,150,6,11,8.6,35.833333333333336,6,0,0,5,1,0,0
Lalit Yadav,253,194,8,15,7.824742268041237,31.625,3,3,0,5,0,0,0
M Ashwin,1129,873,35,19,7.759450171821306,32.25714285714286,42,8,3,23,1,0,0
M Jansen,325,241,10,13,8.091286307053942,32.5,19,2,0,7,0,1,0
M Kartik,1418,1182,39,18,7.197969543147208,36.35897435897436,56,4,3,20,4,8,0
M Manhas,42,42,0,7,6.0,42.0,0,0,0,0,0,0,0
M Markande,522,365,17,11,8.580821917808219,30.705882352941178,13,4,4,7,2,0,0
M Morkel,2136,1699,88,19,7.543260741612713,24.272727272727273,100,17,2,58,0,11,0
M Muralitharan,1765,1581,67,19,6.698292220113852,26.34328358208955,96,13,9,36,6,3,0
M Ntini,257,213,8,13,7.23943661971831,32.125,12,4,0,3,0,1,0
M Pathirana,56,48,2,5,7.0,28.0,11,0,1,1,0,0,0
M Prasidh Krishna,1741,1231,54,20,8.48578391551584,32.24074074074074,98,7,4,39,0,4,0
M Theekshana,267,212,12,14,7.556603773584905,22.25,5,3,2,7,0,0,0
M Vijay,49,37,0,6,7.945945945945946,49.0,1,0,0,0,0,0,0
M de Lange,171,116,6,10,8.844827586206897,28.5,10,2,0,3,0,1,0
MA Khote,52,30,2,4,10.4,26.0,1,0,0,2,0,0,0
MA Starc,725,612,39,18,7.107843137254902,18.58974358974359,56,15,2,17,0,5,0
MA Wood,50,25,0,4,12.0,50.0,2,0,0,0,0,0,0
MB Parmar,33,19,0,3,10.421052631578949,33.0,1,0,0,0,0,0,0
MC Henriques,1302,979,46,20,7.9795709908069465,28.304347826086957,38,5,1,36,0,4,0
MF Maharoof,532,441,33,20,7.238095238095238,16.12121212121212,33,5,2,20,0,6,0
MG Johnson,1740,1301,66,20,8.024596464258263,26.363636363636363,88,12,1,49,0,4,0
MG Neser,62,25,0,4,14.879999999999999,62.0,1,0,0,0,0,0,0
MJ Clarke,72,66,3,6,6.545454545454546,24.0,2,1,0,1,0,1,0
MJ Henry,71,31,2,4,13.741935483870966,35.5,1,0,0,1,0,1,0
MJ McClenaghan,1839,1346,75,20,8.197622585438335,24.52,99,9,3,58,0,4,1
MJ Santner,282,244,10,16,6.9344262295081975,28.2,6,0,0,10,0,0,0
MK Lomror,92,73,1,7,7.561643835616438,92.0,1,0,0,0,1,0,0
MK Tiwary,83,45,1,5,11.066666666666666,83.0,3,0,0,1,0,0,0
MM Ali,631,564,29,17,6.712765957446808,21.75862068965517,14,6,4,14,0,5,0
MM Patel,1733,1382,82,20,7.523878437047757,21.134146341463413,49,12,4,57,1,8,0
MM Sharma,2488,1795,100,20,8.316434540389972,24.88,59,21,4,67,0,8,0
MN Samuels,285,219,10,18,7.808219178082192,28.5,6,2,0,7,0,1,0
MP Stoinis,1072,675,35,20,9.528888888888888,30.62857142857143,38,6,0,28,0,1,0
MR Marsh,528,407,24,17,7.783783783783784,22.0,22,2,1,21,0,0,0
MS Gony,1317,925,39,20,8.542702702702703,33.76923076923077,55,12,1,24,0,2,0
Mandeep Singh,26,12,0,2,13.0,26.0,0,0,0,0,0,0,0
Mashrafe Mortaza,59,28,1,4,12.642857142857142,59.0,5,0,0,0,0,1,0
